title,body,ticket_type,category,sub_category1,sub_category2,business_service,urgency,impact
,weird hi today received weird say forward deleting thanks,1,4,3,7,89,3,4
password reset,hello relates specifically confluence november expire days importance high dear expire days change pc press ctrl alt delete choose change thanks ext,1,4,2,76,4,3,4
re enter timecard error,please action submit cards hello help please fixing error re enter attached error thanks november please action submit cards dear receiving because cards haven submitted please note enough enter also make submit take corrective actions submitted card gets rejected breakdown submitted cards please submit accordingly possible country submitted cards card status error total submitted cards submitted cards statuses explained error usually happens log calendar view period than days then delete which causes timecard switch error fix add back deleted delete entire timecard right hand side menu recreate again rejected card rejected by approvers please card entries accordingly resubmit entered status timecard few days entire timecard entered saved cards status has passed entered validation gone next submission step card issues resolve please wait corresponding resolutions,1,4,3,105,67,3,4
wants to access profile trainings,wants profile trainings please location accept decline requests,1,4,1,7,46,3,4
inventory of network equipment switches routes fusion inventory,inventory equipment switches routes inventory,1,6,22,7,63,3,4
daily meeting organized by to be canceled removed,daily meeting organized by canceled removed dear please cancel daily meeting organized by he left regards blvd floor district,1,4,2,21,36,3,4
access to,hello please help trusted tool share work client please let gained again thank much designer,1,5,15,7,32,3,4
update and connections service now with technical,update technical,1,6,22,7,63,3,4
access to,hi guys please give write thank much,1,4,1,7,70,3,4
laptop needed,needed hello please provide technical test candidate thank specialist,1,5,13,7,32,3,4
data to be transferred between projects pas,transferred hello please assign thank kind regards november re codes needed automation accounts payable fixed assets thank remain available assistance needed move please let once move done regards november pm re codes needed automation accounts payable fixed assets rather question please help moving forecast onto codes costs forecast months please tomorrow please thank november pm re codes needed automation accounts payable fixed assets hello forecast old codes imported automatically created codes far understood technically possible regards officer november pm re codes needed automation accounts payable fixed assets hello thank bringing apologies inconvenience work correcting immediately constraints related nightly refresh which delay these availability until tomorrow received incomplete information directly mailbox order avoid similar future recommend template requests ensure proper tracking shared tasks among involved teams thank november pm re codes needed automation accounts payable fixed assets hi kind reminder code offers cost recovery then needs immediately after codes offer cost recovery forecasting thank november pm re codes needed automation accounts payable fixed assets hello thought took care well please thanks november pm re codes needed automation accounts payable fixed assets hi please informed opened regarding bellow codes created by tomorrow other questions please feel free ask best regards engineer november re codes needed automation accounts payable fixed assets hi kindly asking let codes thank analyst november re codes needed automation accounts payable fixed assets hello moving forecast old codes ones unfortunately codes displayed yet please let expect order make updates regards officer wednesday november pm codes needed automation accounts payable fixed assets wednesday november pm re codes needed automation accounts payable fixed assets hi fine by create codes costs flow per code maintain old code period costs continue posted onto show same picture same codes stat posting costs then show trick reps analyze old code conjunction because budget forecast continue stay old codes while costs flowing codes advise against reclassifying lead reconciliation issues two kind regards wednesday november pm codes needed automation accounts payable fixed assets importance high dear both discussed during meeting automated codes setup capitalized order automated setting capitalized impact how amounts flow codes received far starting creation prod mentioned initial both codes work parallel short period raised question which provide import amounts both codes re classification has take reclassification done level thank feedback regards wednesday november pm re codes needed automation accounts payable fixed assets hello please create codes old code pm code remain available other details needed regards officer wednesday november codes needed automation accounts payable fixed assets importance high tuesday october pm codes needed automation accounts payable fixed assets importance high dear working setting accounts payable fixed assets modules order automated transfer invoice lines cannot achieve without help condition achieve automation assets related codes capitalize own were selected part pilot phase has codes replace ones selected instead create provided by highly appreciated provide codes by thursday november capitalize friday rd november once done teams codes starting november both codes active period agree how keep both active transfer costs old code code once pilot successful move remaining less frequently commercial old code pm code questions hesitate thank help performed testing expected lead,1,4,3,105,70,3,4
new client modifications oracle,client modifications urgent dear please help client which assigned change spa created code move spa please find attached setup form updated regarding contract approved change contract please find link contract id appreciate give resolution today thanks lot officer,1,4,2,21,66,3,4
,si la next,1,4,2,7,19,3,4
your social network daily digest oracle received,social daily digest hi guys idea received thanks coordinator november social daily digest social daily digest tuesday november membership membership conversation made publicly available hi social stop receiving adjust,1,4,2,88,66,3,4
operate anywhere the,operate anywhere hi looks br senior tester november pm operate anywhere create presence practically every displaying correctly view image removed by operate anywhere about find nearest image removed by working meeting spaces enables customers operate anywhere create presence practically every download app image removed by image removed by follow image removed by image removed by image removed by privacy policy policy head luxembourg luxembourg registered street st jersey channel islands jersey registered number,1,4,3,7,89,3,4
annual service recovery test for server restore,name restore restore location test expected outputs restore template restore tests work instruction restore template location report forms restore tests view bb effort book restore tests code,1,8,30,12,63,3,4
annual service recovery test service,name restore location test expected outputs restore template restore tests work instruction restore template location report forms restore tests view bb documentation view effort book restore tests code,1,8,30,12,63,3,4
additional monitor,additional monitor hello additional monitor code thank,1,5,13,7,32,3,4
potential virus,potential virus hello yesterday evening received weird about thought sorry bothering kind regards senior developer,1,4,3,7,89,3,4
please action submit your time cards for approval,please action submit cards hi please advise about getting these reminders since recently these weeks were properly submitted messed date november please action submit cards dear receiving because cards haven submitted please note enough enter also make submit take corrective actions submitted card gets rejected breakdown submitted cards please submit accordingly possible country submitted cards card status saved entered total submitted cards submitted cards statuses explained error usually happens log calendar view period than days then delete which causes timecard switch error fix add back deleted delete entire timecard right hand side menu recreate again rejected card rejected by approvers please card entries accordingly resubmit entered status timecard few days entire timecard entered saved cards status has passed entered validation gone next submission step card issues resolve please wait corresponding resolutions,1,4,2,88,67,3,4
list of the equipment,equipment hello please equipment exists every order renew policies pc goods these offices thank,1,5,13,88,63,3,4
cannot access network,helped fix issue,1,4,1,7,52,3,4
stuck on the approval flow,stuck flow hello kindly help has submitted october got stuck flow needed thank administrator phone st images,1,4,3,7,66,3,4
your social network daily digest,social daily digest hi received strange looks messages please safe suspicions groundless thank best regards tester tuesday november social daily digest social daily digest tuesday november membership membership conversation made publicly available hi social stop receiving adjust,1,4,3,7,89,3,4
view,view dear order perform activities related invoicing install sheet view since working please assist regards november pm view friday november pm view hi ca la se link download details id se se blvd,1,5,2,21,32,3,4
operate anywhere the,operate anywhere hi received thanks software tester november pm operate anywhere create presence practically every displaying correctly view image removed by operate anywhere about find nearest image removed by working meeting spaces enables customers operate anywhere create presence practically every download app image removed by image removed by follow image removed by image removed by image removed by privacy policy policy head luxembourg luxembourg registered street st jersey channel islands jersey registered number,1,4,3,7,89,3,4
wants to access planning,wants planning please permission planning file thank accept decline requests,1,4,1,7,46,3,4
web access tool,tool hello organizational chart seems done please help install computer also please help guidebook tool thank kind regards programme portfolio officer,1,5,15,7,32,3,4
falconer contractor extension,falconer contractor extension hi regards falconer her contract has extended please amendments made kind regards,1,4,2,21,4,3,4
wants to access profile trainings,wants profile trainings academy training accept decline requests,1,4,1,7,46,3,4
wants to access profile trainings,wants profile trainings because work upload completion status mandatory trainings accept decline requests,1,4,1,7,46,3,4
wants to access profile trainings,wants profile trainings mandatory trainings evidence accept decline requests,1,4,1,7,46,3,4
wants to access profile trainings,wants profile trainings training completed accept decline requests,1,4,1,7,46,3,4
wants to access profile trainings,wants profile trainings mandatory training accept decline requests,1,4,1,7,46,3,4
wants to access continuity,wants continuity inform accept decline requests,1,4,1,7,46,3,4
edit,dear per please ensure affects version available test issue type also please ensure editable thanks best regards november pm hi how change affected versions unable thanks regards raja automation relationship water st floor ny work information transmitted content communication confidential intended intended recipient affiliates subsidiaries intended recipient hereby notified information contained transmitted communication dissemination copying communication strictly prohibited received communication error please notify immediately by replying delete,1,4,3,7,51,3,4
maternity leaver access card,return hello colleague whom located has left paternity leave please procedure returning regards senior consultant mob zone please refer section entities,1,7,1,21,32,3,4
new purchase po,purchase po dear purchased received items galaxy card updated include device under user name link please add allocation device thanks kind regards administrator,1,5,13,7,32,3,4
new starter ion tower,starter hello please informed candidate has accepted job offer discipline st november engineer st please create his credentials thank specialist,1,4,2,94,40,3,4
screens how can be used,screens how hi infrastructure daily activities wondering how hanged tv screens please assist thank test consultant,1,5,13,88,32,3,4
external password change,user located hi how change pass word confluence copenhagen,1,4,2,88,27,3,4
additional monitor,re additional monitor hello mention second monitor thanks november pm additional monitor hello additional monitor code thank,1,5,13,7,32,3,4
need access to a shared excel file,shared excel file hi help file layouts accounts libraries resource planning availability update sept action default please provide write shared document daily activities thank kind regards defect,1,4,1,7,46,3,4
access to,hello please granted thanks,1,4,1,7,19,3,4
partially delivery,partially hello received packages packages intend which contain items mouse keyboard cables type adapters cables extender patch cord headset po tomorrow expecting receive other packages custody fan please advise please log thank engineer,1,5,13,7,32,3,4
new delivery net,hello received items po po po please advise please log thank engineer,1,5,13,86,32,3,4
live create account,create hi dear please help thank engineer november pm create administrators hi please create myself thank by logo,1,4,1,0,51,3,4
access to,hi please provide thank,1,4,1,7,19,3,4
temporary phone to replace lost device,call phone hello writing inform lost call phone please help matter best regards leader,1,5,13,7,32,3,4
permissions to,permissions hi please permissions storage consultant,1,4,1,7,38,3,4
new starter for new user,starter user dear please create his credentials note match permissions client please treat high priority thank mob november user hi setup user same configuration thank best regards,1,4,2,7,51,3,4
your password expire days,expire days hi guys please thanks november pm expire days importance high hi thanks november expire days importance high dear expire days change pc press ctrl alt delete choose change thanks ext information transmitted content communication confidential intended intended recipient affiliates subsidiaries intended recipient hereby notified information contained transmitted communication dissemination copying communication strictly prohibited received communication error please notify immediately by replying delete,1,4,2,76,51,3,4
access for,add confluence hi add colleague confluence thank agile,1,4,1,7,19,3,4
access to the th floor span,floor hi please floor she returned maternity leave she part thank officer,1,4,1,7,73,3,4
,hi steps installed computer had previously installed configured computer more since reinstalled os clear which version install storage tools thank senior developer mob zone,1,4,1,7,65,3,4
access to,hi resources link link view planning epics visible thank,1,4,1,7,51,3,4
to project tudor,hi please mirroring resources thank application discipline lead,1,6,1,7,52,3,4
delivery lead to be changed,lead changed hi please change lead contract contract id thanks officer,1,4,2,21,10,3,4
permissions for expense reports oracle,permissions expense reports hi please permissions creating expense reports kind regards,1,4,2,7,66,3,4
md local support received,please hardware receive regards engineer date friday november pm dear tag regards engineer,1,5,13,7,32,3,4
leaver service now november tower,leaver form leave date november location tower hello leaver form has filled by name leaving date november location tower ad forwarder leaver mailbox did leaver roaming profile did leaver ad rights personal mailbox approver did leaver rights inventory storage required information name work location details floor seat did leaver did leaver token did leaver mobile phone subscription did leaver other commercial accounts leaver has detected changed automatic by approver backup pm purchase coordinator approver approver approver approver discipline responsible other did leaver did leaver did leaver did leaver did leaver number did leaver extension leaving details unplanned comments tower needed tickets automatically logged best regards note mailbox receive messages,1,4,2,51,56,3,4
temporary laptop for en,hello please allocation work thank help kind regards leader mobile,1,5,13,7,32,3,4
new purchase po,purchase po dear purchased pc please log allocation after receive item please take consideration mandatory receipts section order receive item ordered how video link kind regards administrator,1,5,13,7,32,3,4
new purchase po,purchase po dear purchased mouse keyboard cables type adapters cables extender patch cord headset please log allocation after receive item please take consideration mandatory receipts section order receive item ordered how video link thank kind regards administrator,1,5,13,7,32,3,4
md local support,please hardware receive regards engineer date friday november pm dear lightning cables regards engineer,1,5,13,7,32,3,4
duplicate task codes oracle,duplicate task codes hi please duplicate task codes thanks,1,4,2,21,66,3,4
career change,change hi leaving reassignment cannot make changes make changes persons assigned moment assigned assigned assigned thank best regards senior tester,1,4,2,21,67,3,4
re new purchase po correction,re purchase po correction kind regards administrator november pm purchase po dear purchased requested by combination lock please log allocation after receive item please take consideration mandatory receipts section order receive item ordered how video link kind regards administrator,1,5,13,7,32,3,4
access to,hello please help create give thanks kind regards programme portfolio officer,1,4,1,7,51,3,4
oracle time correction,correction hi entered october november got sick absent thursday friday november help thank senior software developer,1,4,2,21,67,3,4
new purchase po,purchase po dear purchased requested by mouse wireless swift grey please log allocation after receive item please take consideration mandatory receipts section order receive item ordered how video link kind regards administrator,1,5,13,7,32,3,4
new purchase po,purchase po dear purchased received items lite mobile subscription number user updated include device under user name link please add allocation device thanks kind regards administrator,1,5,13,7,32,3,4
canada protected backup on,canada protected backup hello please assign provide information please provide protected backup information environments which total protect canada approx split example currently charging backups which too high too low thanks,1,6,3,88,41,3,4
db backups for production environment,backups production environment hi please log database backup core jobs databases tomorrow morning please let backups ready thank best regards application engineer,1,6,22,7,41,3,4
new starter tower,starter dear please informed starter date december automation engineer please create his accounts credentials per attached form thank,1,4,2,94,40,3,4
monitor for weeks visiting from,monitor weeks visiting hi please help supporting colleague visiting next two weeks by providing her monitor her personally return once her stay over thanks beforehand best regards mob ext,1,5,13,7,32,3,4
laptop needed,needed dear please help today pm meeting thank specialist,1,5,13,7,32,3,4
access to metrics project for,re repository automated tests metrics hi please provide write permissions members currently cannot repository suppose has rights he add members today off regards automation tester,1,4,2,7,19,3,4
storage information,storage information hello please log assign help growth profile environment contract possible pull environments allocated storage intervals thanks,1,4,2,21,38,3,4
add to the exception list of people not required to submit their time oracle fusion,please action reports hello please add required submit please assign thank november pm re please action reports special afraid november re please action reports hi take thread please looks report him please thanks november please action reports hi leave november re please action reports hi familiar enough timecard process suggest switch off timecard regards friday november pm re please action reports sounds right he card how november re please action reports hi contractors usually person has date tracked agreed date extended extended disabled also think record links terms having record link person contractors usually complete timecards against submitted cost recover measure based commission seems probably him complete missed regards november please action reports hi idea how handle think right requirement enter he november fwd please action reports hi approach commission agreement reports tx begin please action reports datum november dear part established processes each required submit his weekly basis each friday past must submitted receiving because reports haven followed process please help cascade accordingly gets possible breakdown reports please note refers has left maternity other absence leave please update person record otherwise please person directly submit country date total days,1,4,2,21,67,3,4
access to,hi please myself write location forms disciplines sd working area log add view modification rights thanks accounts receivable lead,1,4,2,21,46,3,4
new project codes needed oracle automation accounts payable to fixed assets,codes needed automation accounts payable fixed assets dear please bellow assigned thanks kind regards analyst november pm re codes needed automation accounts payable fixed assets hello thought took care well please thanks november pm re codes needed automation accounts payable fixed assets hi please informed opened regarding bellow codes created by tomorrow other questions please feel free ask best regards engineer november re codes needed automation accounts payable fixed assets hi kindly asking let codes thank analyst november re codes needed automation accounts payable fixed assets hello moving forecast old codes ones unfortunately codes displayed yet please let expect order make updates regards officer wednesday november pm codes needed automation accounts payable fixed assets wednesday november pm re codes needed automation accounts payable fixed assets hi fine by create codes costs flow per code maintain old code period costs continue posted onto show same picture same codes stat posting costs then show trick reps analyze old code conjunction because budget forecast continue stay old codes while costs flowing codes advise against reclassifying lead reconciliation issues two kind regards wednesday november pm codes needed automation accounts payable fixed assets importance high dear both discussed during meeting automated codes setup capitalized order automated setting capitalized impact how amounts flow codes received far starting creation prod mentioned initial both codes work parallel short period raised question which provide import amounts both codes re classification has take reclassification done level thank feedback regards wednesday november pm re codes needed automation accounts payable fixed assets hello please create codes old code pm code remain available other details needed regards officer wednesday november codes needed automation accounts payable fixed assets importance high tuesday october pm codes needed automation accounts payable fixed assets importance high dear working setting accounts payable fixed assets modules order automated transfer invoice lines cannot achieve without help condition achieve automation assets related codes capitalize own were selected part pilot phase has codes replace ones selected instead create provided by highly appreciated provide codes by thursday november capitalize friday rd november once done teams codes starting november both codes active period agree how keep both active transfer costs old code code once pilot successful move remaining less frequently commercial old code pm code questions hesitate thank help performed testing expected lead,1,4,3,7,70,3,4
mailbox retention policy should be year,mailbox retention policy hello please increase retention policy mailbox please assign directly best regards senior engineer please consider environment print,1,4,2,21,36,3,4
equipment issue,equipment issue hi equipment elite pc intel core tm core date purchase please review item pc regards software developer,1,5,13,88,48,3,4
re,re hello please advised has added please restart thank engineer november face parte okapi si,1,6,1,7,52,3,4
access to,hello working meet problem connecting id machine number please add user ecosystem,1,5,1,7,4,3,4
new starter republic of macedonia kale building,starter form induction hi please assist completion attached return form empty part also kind regards officer,1,4,2,94,40,3,4
mail,re transaction code hello please senior engineer november transaction code kind regards november transaction code hi please attached thank consultant november re transaction code,1,4,3,7,89,3,4
new starter center,starter form date hello please find attached started form his missed please let thanks best regards leader ext st emergency number,1,4,2,94,40,3,4
mouse needed,mouse needed hi mouse today forgotten mine developer ext,1,5,13,7,32,3,4
access on for vane,hi same permissions best regards senior engineer,1,4,1,7,19,3,4
lists,lists hi please update owner lists members owner replace members owner replace members owner replace include owner replace thank best regards programme portfolio officer,1,4,2,76,4,3,4
phones for on call for weeks,phones call weeks hi please let provide phone call weeks believe past were phones available by temporarily where how thanks,1,5,13,7,58,3,4
return from maternity access card,returning maternity hello please fill she returning maternity leave starting november thank administration officer,1,4,2,21,73,3,4
mobile phone transfer,mobile phone transfer hi preparing maternity leave please let how procedure transferring mobile phone phone number replacement person thank programme portfolio officer,1,5,13,88,32,3,4
new mobile phone access,mobile phone hi change mobile phone where currently installed application help procedures update id app phone please thanks analyst developer,1,4,3,7,63,3,4
need a bag,bag hello handbag please provide thanks best regards tester,1,5,13,7,32,3,4
repository permissions net graduates,repository permissions graduates hello require repositories trainers browse write graduates browse regards senior developer,1,4,1,7,19,3,4
notifications request to remove,hi relation please receive thank kind regards counsel old broad street,1,4,2,21,10,3,4
new project code for,code has assigned hi setting assign thank kind regards engineer november code has assigned hello please advised record number has assigned please review details take appropriate action reference number details requested location kingdom liverpool liverpool summary code additional comments requirements code hi please create code code name platform give write myself manage code please let require further information kind regards technical programme id canary assign reference assignment summary code location kingdom liverpool liverpool attachments setup form please link kind regards ref msg,1,4,3,7,70,3,4
access to confluence,confluence hello please confluence thank,1,4,1,7,27,3,4
project password reset for external contacts,hello please passwords users atom thank regards,1,4,2,76,4,3,4
new project code oracle fusion,re creation attached completed form profile,1,4,3,7,66,3,4
urgent request repository permissions,urgent repository permissions hello write repository graduates browse repository trainers browse persons melter regards senior developer,1,4,1,7,19,3,4
confluence wallet permission,confluence wallet la confluence wallet care si va va si va senior test engineer,1,4,1,7,4,3,4
name change to access card,name change hi guys please change name she works please remain unchanged thanks administration officer november re update stare civil bun fie oar friday november pm re update stare civil ne ca fie administration officer,1,4,2,21,73,3,4
internal belgrade ad,dear attaching transfer form she change almost job details discipline job title grade indirect category november thank regards administrator,1,4,2,21,4,3,4
registration report october,registration report october hi please generate registration report timekeeping same format overtime included thank director,1,4,2,7,68,3,4
subscription,subscription hi developer subscription subscription required install visual studio thank developer,1,5,3,7,32,3,4
change owner com to lazar,change owner hi change ownership thank agile,1,4,2,21,36,3,4
access removal,removal hello please thank,1,7,1,21,73,3,4
new purchase po,purchase po dear purchased backpacks please log allocation after receive item please take consideration mandatory receipts section order receive item ordered how video link thank kind regards administrator,1,5,13,7,32,3,4
request for changing working laptop,changing working hello please consider changing working reasons enough upgrade win battery working glued duct tape wired broken working working more than years technical details least thank technical lead,1,5,13,88,32,3,4
check log level,poll log status down hello please order log level debug because generates lot logs since days best regards senior engineer,1,6,22,88,95,3,4
buy old computer,buy old computer hi want buy old computer migrated offer price computer name has years thank weekend,1,5,13,88,32,3,4
additional monitor request,additional monitor good morning due moved tower floor starting please provide additional monitor working returned accordingly thank kind regards good tester,1,5,13,7,32,3,4
monitor provided,monitor monitor monitor note respect,1,5,13,7,32,3,4
beyond compare license,beyond compare license hello please provide license beyond compare consultant,1,5,15,7,32,3,4
request for monitor,monitor hello course four days period november course carried please help monitor four days deliver come by myself id please assign call thank consultant,1,5,13,7,32,3,4
,hi please log queue thanks friday november hi per conversation please add blocks which planned advertised networks thank,1,6,22,7,95,3,4
update,re update hi sorry holiday until today going deal also approve order modify leaver form hi please approve mutual termination leave type leaver form hi please log thank kind regards analyst update hello awesome mutual termination leaving details section leaver form planned unplanned leaver left values thank lead,1,4,3,21,40,3,4
new purchase po,purchase po dear purchased peripherals keyboard mice please log allocation after receive item please take consideration mandatory receipts section order receive item ordered how video link kind regards administrator,1,5,13,7,32,3,4
remove from the notifications,low satisfaction score working hi please take out these replace friday november pm low satisfaction score working please advised working has more low satisfaction scores treated per relevant feedback process score details overall satisfaction provided by ability understand issue having repeat information about issue communication steps required resolution taken by solve issue effectively disappointed sorry about kept informed manner which feedback handled guys right thing influenced give these scores please notice opportunity provide improvement suggestions took over fix phone job mainly talking customers phone caused problems ref msg,1,4,3,21,56,3,4
for,hi please help license key tools colleague please let additional required thank engineer id image,1,5,15,7,32,3,4
employee due to be leaving announcement,due leaving announcement hi everything leaving today guys told him thank administrator tuesday october pm due leaving announcement dear colleagues due leaving november details given reason leaving resignation job title consultant grade senior consultant regards administrator,1,4,3,88,40,3,4
wants to share start up trainings,hello tot documentation site care si reports site care la tot trainings best regards engineer wants share trainings want share trainings accept decline requests,1,6,22,0,46,3,4
storage location for training,storage location training dear please help creating folder where he store training materials videos give everyone folder he share said videos thanks kind regards engineer,1,4,2,7,38,3,4
creation of mail account on mobile,creation mobile hi notify assisted creation mobile thanks,1,4,2,7,36,3,4
please can we help get,please help hi please help install his machine thanks please refer section entities,1,4,2,7,66,3,4
oracle,hi please entries cannot these views thanks,1,4,2,21,67,3,4
,requested,1,5,15,7,65,3,4
ops scheduled task to be modified backup,scheduled task modified backup hello please modify task backups triggers daily ex task follows backups failures description backups failures cut paste link docs procedure also please amend task summary backups failures triggers daily ex task backups failures description backups failures cut paste link docs procedure thanks,1,4,3,21,56,3,4
ops scheduled task to be modified,scheduled task modified hello please modify task occurs daily summary disk failures ex task summary description summary disk failures disk failures cut paste link procedure thanks,1,4,3,21,56,3,4
maternity leave ad,va ca etc friday november pm monitor ultima si monitor la mall,1,4,2,21,4,3,4
quarantine you have new,dear hey east east pm kb re top level filing kb hi kb deleted automatically after days change frequency these within log default locale,1,4,3,60,89,3,4
wants to share start up trainings with and,wants share trainings want share trainings accept decline requests,1,4,1,7,46,3,4
permutation typo,permutation typo hi doing well please assist resolution issue typo which cause problems future specially issue administration made typo id document wrote which where typo permutation occurs name signature gave newly corrected officer changed name assistance advise approach how change lose related display name instead additional please hesitate via cheers senior engineer ext,1,4,2,21,4,3,4
local admin rights required,rights required hello please enable order update receiver latest version thank senior application engineer,1,5,2,7,32,3,4
change automatic message calendar,change automatic calendar instead please change chat,1,4,2,21,63,3,4
please action submit your time cards for approval,please action submit cards dear please note left past had same issue other leavers were filled by process changed please instruct how proceed thanks date november please action submit cards dear receiving because cards haven submitted please note enough enter also make submit take corrective actions submitted card gets rejected breakdown submitted cards please submit accordingly possible country submitted cards card status entered total submitted cards submitted cards statuses explained error usually happens log calendar view period than days then delete which causes timecard switch error fix add back deleted delete entire timecard right hand side menu recreate again rejected card rejected by approvers please card entries accordingly resubmit entered status timecard few days entire timecard entered saved cards status has passed entered validation gone next submission step card issues resolve please wait corresponding resolutions,1,4,3,105,67,3,4
maternity leaver inventory update,re maternity leaver form hello please find attached let additional information needed gladly clarify everything kind regards head friday november pm maternity leaver form hello please fill maternity form back thank administration officer,1,5,13,51,32,3,4
are marked as unknown license,re marked unknown license hi log please thank friday november pm marked unknown license hi black duck library well known libraries distributed under license terms black duck marked unknown license wonder ideas happening results view cheers design authority,1,4,3,60,21,3,4
applications management membership update,re logged tickets hi close figured out tickets opened sorry misunderstanding thank resolving help more change keep groups engineering individual addresses removed thank much,1,4,2,21,36,3,4
name change oracle,name change hi guys please proceed changing name screen name please let thanks administration officer,1,4,2,21,67,3,4
permission request,permission hi please permission thankyou,1,4,1,7,23,3,4
temporary phone to be,phone hi lose phone please let needs done obtain thanks,1,5,13,7,32,3,4
notification to staff,november importance high hi today word body hello everyone back july activities passed during these past months tried provide best made good progress extending little way working hard decommission legacy detailed which reliant short level agreement attached everything under single available via self which also includes phone details along way received numerous questions which happily answered added common ones order receive best continue templates self newly added chat feature wish view brief tutorial how video available right hand side once response resolution how these details found document note these apply legacy ones whom feel handled accordingly legacy infrastructure migrations room backup facilities legacy legacy which handled by follows these response resolution rest assured looking out tickets related backup hardware infrastructure virtual infrastructure clustering ad client intrusion detection printing going during devices added meeting rooms printers moved print therefore become fully supported by over wireless improved main groups owners assigned administer questions suggestions feel free reach out yours faithfully make included thank,1,6,22,0,42,3,4
mailing list,hello create similar issues regarding credentials maybe she locked her yesterday please unlock give example because tried everything yesterday match requirements creating st thanks help great weekend,1,4,2,7,36,3,4
generic address,generic dear colleagues kind generic clearing whose owner members please help thank clearing analyst upcoming leave rd october st november,1,4,2,7,36,3,4
access to overtime report,overtime report dear please provide myself report overtime thank,1,4,1,7,68,3,4
oracle timecard,timecard hi guys possible user card,1,4,3,88,67,3,4
new purchase po,purchase po dear purchased mini charger lightning cable please log allocation after receive item please take consideration mandatory receipts section order receive item ordered how video link kind regards administrator,1,5,13,7,32,3,4
new purchase po,purchase po dear purchased convertor tip slot please log allocation after receive item please take consideration mandatory receipts section order receive item ordered how video link kind regards administrator,1,5,13,7,32,3,4
unlock ad account,re unlock ad friday november pm unlock ad dear please unlock thanks senior consultant,1,5,2,21,4,3,4
new purchase po,purchase po dear purchased cable serial null modem pin female pin female please log allocation after receive item please take consideration mandatory receipts section order receive item ordered how video link kind regards administrator,1,5,13,7,32,3,4
new purchase po,purchase po dear purchased lightning cable please log allocation after receive item please take consideration mandatory receipts section order receive item ordered how video link next rest order thank kind regards administrator,1,5,13,7,32,3,4
confluence account for external user,re confluence user hi guys please thing needed thank friday november pm confluence user hi please create created he needs basic view create permissions cheers design authority,1,5,2,76,4,3,4
career change,change hi please assign best regards analyst friday november pm change hello possible changed myself tried normal process requesting looks she encountered errors while performing save action please let require additional details regards senior software tester,1,4,2,21,67,3,4
pending approval,pending dear please thank engineer thursday november pm re pending also report suggest added same folder head thursday november pm pending hi regarding requirements approve please report mentioned folder thanks best regards application engineer thursday november pm re pending hello please add folder where looking kind regards head thursday november pm pending hi granted report image please let other assistance report thanks hi please assign best regards application engineer thursday november pm pending hello received pending report available community accommodate thanks head,1,4,3,21,66,3,4
approval rights,please help contract review hello please help issue please her she joiner process basically her approve contracts questions details please reach out her thank events friday november pm re please help contract review hi fine mentioned apologies bombarding today urgent deadline today unlikely until done sooner maybe name possible therefore getting grips please let prefer thanks counsel november re please help contract review hi think best log come ask questions sometimes even issue order sort doing come asking won position give too details also also best position explain makes sense thank events friday november pm re please help contract review hi unfortunately option approve contract id please thanks counsel november re please help contract review hello thank contract based please ask copy signed document thank events thursday november pm please help contract review hi reviewed attached agreement perspective fine terms commercial perspective particular obligations please upload contract signature thanks counsel november please help contract review hi please head november please help contract review hello building activity next attached contract please ask help reviewing signing fully approved dealing converting po uploaded well thank events,1,4,2,21,10,3,4
,hello transfer talked he thank,1,4,2,21,67,3,4
leaver form for leave date november location center snow,leaver form leave date november location center hello leaver form has filled by name leaving date november location center ad forwarder leaver mailbox did leaver roaming profile did leaver ad rights personal mailbox approver did leaver rights inventory storage required information name work location details floor seat did leaver did leaver token did leaver mobile phone subscription did leaver other commercial accounts leaver has detected changed automatic by approver backup pm purchase coordinator approver approver approver approver discipline responsible other did leaver did leaver did leaver did leaver did leaver number did leaver extension leaving details mutual termination comments location needed tickets automatically logged best regards note mailbox receive messages,1,4,2,51,56,3,4
leaver form for leave date october location new jersey snow,leaver form leave date october location jersey hello leaver form has filled by name leaving date october location jersey ad forwarder leaver mailbox did leaver roaming profile did leaver ad rights personal mailbox approver did leaver rights inventory storage required information name work location details floor seat did leaver did leaver token did leaver mobile phone subscription did leaver other commercial accounts leaver has detected changed automatic by approver backup pm purchase coordinator approver approver approver approver discipline responsible other did leaver did leaver did leaver did leaver did leaver number did leaver extension leaving details planned comments needed tickets automatically logged best regards note mailbox receive messages,1,4,2,51,56,3,4
confluence account for external user,confluence user hi please create created he needs basic view create permissions cheers design authority,1,4,2,7,36,3,4
maintenance,dear environment mode weekend november duration during period won accessible please communication users client heads client infrastructure additional information please hesitate kind regards,1,4,3,60,70,3,4
check change the patch cord cable connected between hosting and end core stack,friday november pm change patch cord cable connected hosting core stack dear sd please change patch cord cable connected hosting core stack located assign second cluster failed interface running input errors best regards senior engineer please consider environment print,1,6,22,60,59,3,4
request oracle request has been assigned to am oracle support,has assigned dear please bellow assigned thanks kind regards analyst friday november pm re has assigned hello please other members codes old ones pm please close old codes keep both period thanks friday november pm re has assigned hello please advised codes were requested further assistance please let kind regards analyst,1,4,2,21,66,3,4
