source,english_sentence,hindi_sentence
indic2012,Beautiful pictures of natural village exist in this.,ग्राम्य-प्रकृति के सुंदर चित्र इसमें हैं।
ted,"So, how do you make education better?","तो, आप किस तरह शिक्षा को बेहतर बनाएँगे?"
tides,"In the case of meher or dowry-in-reverse , the custom was that the bridegroom gave an agreed sum to the bride at the time of the wedding .",मेहर अथवा विपरीत दहेज के मामले में यह रिवाज था कि विवाह के समय दूल्हा दुल्हिन को एक पूर्व निश्चित रकम दे .
tides,"Bhulabhai Desai went straight to the heart of the matter -LRB- the subject people 's right to revolt -RRB- when he said , ” In the situation in which an Indian finds himself , the question is under what circumstances and to what extent the question of allegiance can be raised at all , because once you divide the King from the country , it becomes a very difficult issue altogether tot any human being to decide , and hence I would prefer to rest my argument on the occurrences of 17th February .","भूलाभाई देसाई सीधे मूल मुद्दे तक पहुंचे ( विद्रोह करने के प्रजा के अधिकार तक ) , जब उन्होंने कहा- ” एक भारतीय अपने आपको जिस स्थिति में पाता है , उसे देखते हुए सवाल यह उठता है कि किन हालात में और किस सीमा तक राजभक़्ति का प्रश्न उठाना जायज है , क़्योंकि अगर राज़्य को सम्राट से विलग करके देखें , तो यह निर्णय करना किसी भी इंसान के लिए बिलकुल अलग ही मुद्दा होगा और इसलिए मैं 17 फरवरी की घटनाओं पर अपना तर्क आधारित करना चाहूंगा ."
tides,"But for the woman who suffered taunts for 15 years- “ Go and complain to Rajiv Gandhi , ” jeered her insensitive employers who often held back her wages-it was a moment for exorcising many demons .","लेकिन उस औरत के लिए जिसने 15 वर्षों तक अपने असंवेदनशील तथा अक्सर दिहाड़ी रोकने वाले मालिकों के ' ' जाओ और राजीव गांधी से शिकायत करो ' ' जैसे ताने सुने हों , यह कई प्रेतबाधाएं उतारने का अवसर था ."
ted,by which we improve our society.,एक साधन है.
ted,Now to understand how Congress came to write a bill,कैसे कांग्रेस ने ऐसा विधेयक लिख डाला
tides,"In most parts of my work I simply relate without criticising , unless there be a special reason for doing so .","मैंने अपनी पुस्तक के अधिकांश स्थलों पर बिना टीका-टिप्पणी के केवल वर्णन भर कर दिया है , अलबत्ता जहां ऐसा करना विशेष रूप से आवश्यक हुआ टीका-टिप्पणी भी की है ."
tides,"If it was really so , it would have been a great discovery for this country but subsequent research did not establish this .",यदि यह बात सच हो तो इस देश की आबादी की समस्या का हल निकल सकता था किंतु इस संबंध में बाद को किए गए अनुसंधानों में इस बात की पुष्टि नहीं हो सकी .
ted,"because often in this country,","क्योंकि अक्सर इन देशों मे,"
ted,And I thought I'd start a Barefoot College -,और मैनें सोचा कि मैं बेयरफ़ुट कॉलेज की शुरुवात करूँगा -
indic2012,Bhimbetaka Caves from Madhya Pradesh of Stone age are proof of ancient human life in India.,पाषाण युग भीमबेटका मध्य प्रदेश की गुफाएँ भारत में मानव जीवन का प्राचीनतम प्रमाण है।
tides,In steel the country had by now a nucleus for rapid growth .,"इस्पात में , देश अब त्वरित विकास का केन्द्र बन चुका था ."
tides,"The words he employs are simple , but full of overtones and undertones .",यद्यपि उसकी शब्दावली सरल है किंतु वह सांकेतिक है .
ted,which of these different toilet papers,कि इन विभिन्न तरह के टाइलेट पेपर में से
ted,and they would be connected as A to B immediately.,A और B तत्काल ही एक-दूसरे से जुड़ पा रहे थे.
ted,"of these propeller blades,",इन प्रोपेलर ब्लेड की
ted,"Next thing we have to do,","अगली चीज़ हम करना चाहते हैं,"
indic2012,Abhinav Sopan (1964),अभिनव सोपान (1964)
ted,I'm not going to even begin to try.”,मैं कोशिश भी नहीं करने जा रहा हूँ.”
indic2012,History,इतिहास
indic2012,".Whereas the direction of many erect (aroused) penises is upwards, but a common penis can get erect in any direction (upwards, downwards, left or right)and this depends on the tightness of the suspensory ligaments which hold the penis in this position.",हालांकि कई स्तंभित (तने हुये) शिश्न की दिशा ऊपर की ओर होती है पर एक सामान्य शिश्न किसी भी दिशा मे स्तंभित (उपर नीचे दायं या बायं)हो सकता है और यह इसके सस्पेन्सरी लिगामेंट (लटकानेवाला बंधन) जो शिश्न को इसकी स्थिति मे रखते है के तनाव पर निर्भर करता है।
ted,these iconic images,इन प्रतिष्ठित छवियों से
ted,is a more effective strategy than the other strategy.,बेह्तर तरीका है ब्लाक रखने के मुकाबले।
tides,The occupational census data too underline the general insignificance of industry -LRB- modern and traditional -RRB- and the preponderance of agriculture and allied pursuits .,जनगणना के व्यावसायिक आंकड़े भी उद्योगों ( आधुनिक और पारंपरिक ) की सामान्य कमी और कृषि एवं उससे संबद्ध कार्यों की प्रधानता भी इसी बात को रेखांकित करती है .
tides,"When waiting for its victim the motionless and utterly inconspicuous mantis holds its forelegs close to its body , raised forward and assuming a grotesque posture , as if to say its prayers with folded handshence the name praying mantis !",अपने शिकार की प्रतीक्षा करते समय गतिहीन और एकदम से अस्पष्ट मेन्टिस अपने अग्रपादों को शरीर से सटा लेता है.दोनों टांगें आगे की और उठी रहती हैं और ऐसी विचित्र मुद्रा बन जाती है मानो मेन्टिस हाथ जोड़े प्रार्थना कर रहा हो और इसीलिए अंग्रेजी में इसका नाम ' प्रेयिंग मेन्टिस ' पड़ा .
indic2012,The number stanzas in Brahma Vivarta Puran is eighteen thousand,ब्रह्मवैवर्तपुराण में श्लोकों की संख्या अठारह हजार हैं।
tides,0,0
indic2012,Cotton as the summit of and Rushi sages seeks “”Mahabharat“” of writings of developing art in the first Brahi or Sanskrit script as handwritten manuscripts to be bound,४) सूत जी और ऋषि-मुनियों की इस वार्ता के रुप में कही गयी महाभारत का लेखन कला के विकसित होने पर सर्वप्रथम् ब्राह्मी या संस्कृत में हस्तलिखित पाण्डुलिपियों के रुप में लिपी बद्ध किया जाना।
indic2012,In October 2006 one letter was send by freedom scientist to EPA (EPA) to warn that it is necessary to decrease ozone mist standard and continue to keep present weakness standard is not according to scientist rights.for prove scientists have deeply examine then unanimously advise smoke extent should be 60 to 70 PPB.,अक्टूबर २००६ में EPA (EPA) को भेजे एक पत्र में एजेंसी के स्वतंत्र वैज्ञानिक सलाहकार ने चेतावनी दी कि ओज़ोन धुंध मानक काफी कम करने की जरूरत है और वर्तमान कमजोर मानक बनाए रखने के वैज्ञानिक औचित्य नहीं है. वैज्ञानिकों ने सबूत के गहेरे पूर्ण परिक्षण के पश्चात एकमत होकर यह सुझाव दिया की धुंद और धुआ की सीमा ६० से ७० पीपीबी होनी चाहिए.
indic2012,"On 11 December 2007, the Lucknow bench of the Allahabad High Court showed green flag to Bachchan in a case pertaining to alleged fraudulent allotment of government land to him in Barabanki district",११ दिसंबर २००७ को इलाहाबाद उच्च न्यायालय की लखनव खंडपीठ ने बाराबंकी जिले में इन्हें अवैध रूप से जमीन आबंटित करने के मामले में हरी झंडी दे दी।
indic2012,"In the year 2000, Bachchan hosted “”Kaun Banega Crorepati“” which was an adaptation from a British television game show.",वर्ष २००० में बच्चन ने ब्रिटिश टेलीविजन शो के खेल कौन बनेगा करोड़पति ?
ted,and it has 140 million dynamic people - chaotic people -,और यहाँ 140 मिलियन को गतिशील लोग- अराजक लोग लेकिन बहुत दिलचस्प लोग - हैं
ted,And what's under that,और उसके नीचे जो है
tides,"Having created a network of efficient intelligence , coupled with the coordination between submarines and the Royal Air Force , the allied striking power created havoc , making the Japanese existence in the islands most miserable .","चारों ओर जासूसी का जाल फैलने के फलस्वरूप जापान की गतिविधियों की पूर्ण सूचनायें मिलने लगीं , जिन्हें पनडुब्बी व हवाई हमलों के साथ जोड़ने से मित्र राष्ट्रों की चोट करने की ताकत ने जापानी जहाजों का विध्वंस कर डाला तथा जापानियों का जीना हराम कर दिया ."
ted,is to keep the outdoors out.,जिसमे बाहरी वातावरण को बाहर रखना है |
tides,"“ Courtesy the summit , we are possibly back to square one , ” says Mohammad Jaffer , a resident of Kargil whose house received a direct artillery hit in 1997 .","करगिल निवासी मोहमद जाफर , जिनका घर 1997 में सीधे तोपों की जद में आ गया था , कहते हैं , ' ' शिखर वार्ता के बाद हम शायद उसी स्थिति में लेट आए हैं . ' '"
indic2012,King siddharth's birth 563 and death 483,राजकुमार सिद्धार्थ के रूप में उनका जन्म 563 ईस्वी पूर्व तथा मृत्यु 483 ईस्वी पूर्व मे हुई थी।
ted,This list is just for illustration; it is incomplete.,"यह केवल उदाहर्ण के लिए है, यह अधूरा है."
tides,"This is sought to be achieved through what is called the Parliament Library and its Research , Reference , Documentation and Information Services .","संसद ग्रंथालय और इसकी शोध , संदर्भ , प्रलेखन तथा सूचना सेवाओं का यही उद्देयश्य होता है ."
ted,"One particular thing we might look at, in terms of",हम पर लग सकता है
tides,"Once Lord Vishnu lay thinking upon his serpent-bed in the milky sea of creativity , about the creation of the universe .",एक अन्य अनुश्रुति यूं कहती है कि एक बार सृष्टि सागर में शैया पर बैठ सृष्टि-रचना के विषय में विष्णु भगवान् चितामग़्न थे .
indic2012,After this campus is launched the higher education has become easy but till 1959 there was no university. After the political change the country opened Tribhuvan University in 1959,इस कैंपसकी स्थापना बाद नेपालमे उच्च शिक्षा अर्जन बहुत सहज होनगया लेकिन सन 1959 तक भी देश मे एकभी विश्वविद्यालय स्थापित नहीं हो सकाथा राजनितिक परिवर्तन के पश्चात् राणा शासन मुक्त देशने अन्ततः 1959 मे त्रिभुवन विश्वविद्यालयकी स्थापना की ।
indic2012,For pilgrims our Indian people have feeling of devotion.,तीर्थों के प्रति हमारे देशवासियों में बड़ी भक्ति भावना है।
tides,"Mausala , i.e . the fighting of the Yadavas , the tribe of Vasudeva , among themselves .","15 . ? मूसल ? , अर्थात यादवों का आपस में युद्ध ."
tides,"India imported on an average 22,000 vehicles -LRB- 12,000 cars and 10,000 trucks -RRB- per year before the war , Britain being the largest supplier .","युद्ध से पूर्व भारत ने औसत रूप में 22,000 वाहन ( 12,000 कारें और 10,000 ट्रक ) प्रति वर्ष आयात किये और ब्रिटेन ही इनका सबसे बड़ा सप्लायर था ."
tides,"He is always given to medi- The fourth period tation ; he strips the mind of friendship and enmity , and roots out desire , and lust , and wrath .","वह सदैव ध्यान में मग़्न रहता है ; वह अपने मन को मित्रता और शत्रुता से रहित कर देता है और काम , क्रोध और मोह का परित्याग कर देता है ."
tides,"A : The Malaysians , like the Indians , are friendly people .",भारतीयों की तरह मलेशियाई भी मित्रताप्रिय लग हैं .
indic2012,Witness (Ashahadah) - The literal meaning of testify,साक्षी होना (शहादाह)- इस का शाब्दिक अर्थ है गवाही देना।
tides,"They , therefore , returned disappointed and came to the Lahore Congress empty-handed .",अत : दोनों नेता निराश और खाली हाथ लाहौर कांग्रेस में लौट आये .
tides,"To avoid this , the rules of the respective Houses have laid down certain conditions governing the admissibility of a question .","इस स्थिति से बचने के लिए , दोनों सदनों के नियमों में कुछ शर्तें निर्धारित की गई हैं जिनके अनुसार प्रश्न गृहीत किए जाते हैं ."
ted,how to autonomously build,कैसे स्वायत्त रूप से
ted,"wearing warm underwear from just out of the dryer,","ड्रायर से हाल में ही निकला गरम अंडरवियर पहनना,"
ted,who had the same experience with my father,जिसका वैसा ही सम्बन्ध रहा अपने पिता से
indic2012,"here the writers of mumbai like mohan apte,ananth konekar,and bal gangadhar tilak will be always noticed",यह मुंबई के लेखकों जैसे मोहन आप्टे अनंत काणेकर और बाल गंगाधर तिलक के कार्यों में सदा दृष्टिगोचर रहा है।
indic2012,It is dominated by Upalaanh,इसमें उपालंभ की प्रधानता है।
tides,that drug taking could affect their health now and in the future .,कि ड्रग लेने से वर्तमान और आगे चलकर भविष्य में उनके स्वास्थ्य पर इसका खराब असर पड़ सकता है
tides,a quiet word about noise and formal action,शोर और उस के प्रति कार्यवाही के बारे में एक शांत सुझाव .
ted,"For example, very early on in the treatment,","जैसे की इलाज के शुरुआत में,"
indic2012,"After there was no compromise, after lot of years, they took the election for the post of Congress President.",कोई समझोता न हो पाने पर बहुत सालो के बाद कांग्रेस अध्यक्षपद के लिए चुनाव लडा गया।
tides,The servants ' regime was at an end .,नौकरों के शासन काल का अंत हुआ .
indic2012,The four towers situated at four corners bound this site in asquare,चारों कोनों पर स्थित मीनारें इसके दश्य को चौखटे में बांधतीं हैं
tides,"As early as 1982 , she had written to the government staking her claim to the building .",1982 में ही उन्होंने सरकार को पत्र लिखकर इस इमारत पर अपना दावा जताया था .
indic2012,"At last in 16 January 2003, Kalpna Ji was on destructive ATS -107 mission on Columbia.",१६ जनवरी २००३ को कल्पना जी ने अंततः कोलंबिया पर चढ़ के विनाशरत एसटीएस-१०७ मिशन का आरंभ किया।
tides,"Recently a theory has been advanced that the Ramayana was composed long before the Mahabharata and another that the story of the Ramayana does not refer to a war between the Aryans and the Dravidians but to one between two Aryan kingdoms , one of which called Lanka in the poem was not what we now know as Ceylon or Sri Lanka but a place situated in Madhya Pradesh .","अभी हाल में एक ऐसी धारणा बनायी गयी है , जिसके अनुसार रामायण की रचना महाभारत के बहुत पहले हुयी थी.दूसरी धारणा यह कि रामायण की कहानीं आर्यो और द्रविड़ों के बीच युद्ध से संबधित नहीं है , बल्कि युद्ध दो आर्य साम्राज़्यों के बीच हुआ ऐसा संकेत करती है.उनमें से एक , जिसे लंका कहा गया और हम जिसे सीलोन या श्रींलंका के रूप में जानते है वह नहीं है , बल्कि यह वह स्थान है जो मध्यप्रदेश में Zस्थित हैं ."
indic2012,Dam and river plans,बाँध एवं नदी परियोजनाएँ
tides,I am proud of the friendship .,मुज्हो मित्रता पर गर्व है .
indic2012,Rare recod show that glaciers are retreating from the begining on 1800. The measurement of glacier ice was started in 1950 and report was presented to WGMS and NSIDC.,विरल रिकॉर्ड यह भी दर्शाते हैं की हिमनद शुरुआती १८००स से पीछे हट रहे हैं १९५० में हिमनद की बर्फ का मापन शुरू हुआ और रिपोर्ट WGMS (WGMS) और NSIDC को पेश की गई (NSIDC).
indic2012,Village power generation (A Power House),ग्रामीण विद्युतीकरण (एकल बिजली घर)
ted,"and her brother was eight, and the parents were lost.","और उसका भाई ८ साल का था, और उनके माँ-बाप खो चुके थे."
indic2012,"There are a number of matches played between the two teams, called as a “”series“”. A match is played for five consecutive days. A series generally has 3 to 5 matches. A test match which does not end in a result even at the end of the fifth day is called a “”draw“”.",दो टीमों के बीच आमतौर पर टेस्ट मैचों को मकान के एक समूह में खेला जाता है जिसे श्रृंखला कहा जाता है.मैच ५ दिनों तक चल सकते हैं सामान्य रूप से एक श्रृंखला में ३ से ५ मैच हो सकते हैं.टेस्ट मैच जो दिए गए समय में ख़त्म नहीं होते हैं वह ड्रा हो जाते हैं.
ted,"I am six years old, and I don't cry when we leave home","मैं छह साल की हूँ, और अपना देश छोड़कर अमरीका आते हुए"
ted,"So, I think it is simple to say",इस हिसाब से मेरा मत है कि ये कहना
ted,And let me tell you what the problem is,मैं आप को बताना चाहूँगा की डर कर
ted,"So, in other words, we add two years -","तो, अन्य शब्दों में. हम दो वर्ष बढा दें -"
tides,"Unfortunately Shukla , life president of the IOA , punctured his plans on a very simple premise .",भारतीय ओलंपिक संघ के आजीवन अध्यक्ष शुक्ल ने बड़ै ही सामान्य आधार पर उनकी योजनाओं की हवा निकाल दी .
ted,"and the scientists, geologists always tell me","और वैज्ञानिक, भूवैज्ञानिक हमेशा मुझे बताते है"
ted,"Now I was not only charmed, I was very moved.",उसकी बातों ने मुझे न सिर्फ़ मोहित किया बल्कि भीतर तक छू दिया.
ted,"as you do in the Buddhist tradition,",जहां बुद्ध की अनेक प्रतिमाओं की
indic2012,"In cellular system, many developments were required through which mobile phone can be connected in between the cells.",सेलुलर प्रणालि को कई प्रौद्योगिकी उछाल के आवश्यक थी हवाले सहित जिससे मोबाइल फोन को सेल के बीच कूच करते हुए बातचीत जारी रखने की गुंजायश थी.इस प्रणाली में बेस स्टेशनों और टेलीफोन दोनों में चर संचरण शक्ति शामिल हैं (बेस स्टेशनों द्वारा नियंत्रित) जिसने रेंज और सेल के आकार में भिन्न संभव बनाया.जब इस प्रणाली में विस्तार और क्षमता के निकट पहुंचा विद्युत पारेषण को कम करने की क्षमता ने नई कोशिकाओं का जुड़ना मुमकिन बनाया जिसका परिणाम अधिक छोटे कोशिका और इस प्रकार अधिक क्षमता.इस वृद्धि का सबूत को अभी भी कई पुराने में लंबे सेल साइट टावरों देखा जा सकता है जिनके टावरों के ऊपरी हिस्से पर कोई एंटीना नहीं था.इन साइट ने मूलतः बड़े कोशिका बनाए और इसलिए उनके एंटीना ऊंचे टावरों के ऊपर स्थापति थे; टॉवर इस तरह से डिजाइन किए गए थे ताकि प्रणाली का विस्तार हो-सेल का आकार सिकुड़ सकें- एंटीना को कम किया जा सकता है उनके मूल मस्तूल पर सीमा को कम करने के लिए.thumb|
indic2012,Karib's Ram,कबीर के राम
tides,Whole class about 10 minutes reporting back and thinking about what has been learned,जो सीख चुके हैं उस बारें में पूरी कक्षा 10 मिनट के लिए सोचती है और राय व्य> करती
ted,"then to the Dark Ages, and then the first stars turn on,","फिर अंधकार युग का आरंभ होता है, जिसके बाद सर्वप्रथम तारों का जन्म होता है,"
tides,"Access and availability : People cannot get to key places in a reasonable time , reliably and safely .","पहुँच और उपलब्ध होना - लोग महत्वपूर्ण स्थानों पर समय पर , विश्वसनीय ढंग से और सुरक्षित नहीं पहुँच सकते ."
ted,is one where we take out salts.,हम नमक को बाहर निकालते हैं.
ted,And can you guess what the young men are waiting for?,और क्या आप अंदाज़ लगा सकते हैं कि ये युवक किसलिए इकट्ठे हुए हैं?
tides,He was undoubtedly the central figure in the seminars which took place in Basava 's house .,निस्संदेह बसव के घर होने वाली चर्चाओं में वह केन्द्रीय व्यक़्ति था .
indic2012,Subha Chandra was his 9th child and 5th son.,सुभाषचंद्र उनकी नौवीं संतान और पाँचवें बेटे थे।
tides,"This was of course a freak and , as should have been expected , the next year exports were back to their old level .",लेकिन यह एक लहरमात्र थी और जैसी कि आशा थी अगले वर्ष का निर्यात अपने पुराने स्तर पर आ गया .
tides,"The industry more than justified the aid and encouragement it received by enabling the country to be virtually self-sufficient in sugar , a vital energy foodVirtually ' because there were many ups and downs in the industry 's fortunes in later years , necessitating periodical imports .",उद्योग ने देश को चीनी में वास्तविक रूप से आत्मनिर्भर बनाकर मिलने वाली सहायता और प्रोत्साहन का औचित्य सिद्ध कर दिया.चीनी को वास्तविक रूप में एक महत्वपूर्ण शक़्तिवर्धक आहार माना गया-वास्तविक रूप में इसलिए क़्योंकि बाद क वर्षों में इस उद्योग को काफी उतार चढ़ाव सहने पड़े जिनके कारण समय समय पर इसके आयात की आवश्यकता महसूस हुई .
ted,Tell us why your science is relevant to us.,बताईये आपका विज्ञान हमसे कैसे संबंधित हैं|
indic2012,Babar (founder of Mughal Empire) built rectangular and square gardens here.,बाबर (मुग़ल साम्राज्य का जनक) ने यहाँ चौकोर (आयताकार एवं वर्गाकार) बाग़ों का निर्माण कराया।
tides,"There had been a lingering tradition of a taboo on stone for sacred and secular structures , because of its long local association with funerary erections , as has been noted before .","पवित्र और धार्मिक संरचनाओं के लिए पत्थर के उपयोग पर निषेध की एक लंबी परंपरा थी.जिसका कारण था मृतकों से संबंधित निर्माणों से उसका लंबे समय से स्थानीय रूप से जुड़ा होना , जैसे कि पहले उल्लेख हो चुका है ."
indic2012,"He spent his youth learning to hunt, run, and fight, but he never learned to read or write.","उसका काफी समय आखेट, दौड़ व द्वंद्व, कुश्ती आदि में बीता, तथा शिक्षा में उसकी रुचि नहीं रही।"
ted,he called it the shortcut distance.”,उन्होंने उसे शॉर्टकट बुलाया”.
indic2012,Ayodhya resident's hearts were filled with joy while welcoming their beloved king.,अयोध्यावासियों का ह्रदय अपने परम प्रिय राजा के आगमन से उल्लसित था।
tides,They feel it could raise Muslim suspicions that the Congress was once again indulging in soft Hindutva the way it did in 1989 by performing a shilanyas at Ayodhya and when Rajiv Gandhi launched his election campaign from the town promising Ram Rajya .,"उनका मानना है कि इससे मुसलमान सोच सकते हैं कि कांग्रेस 1989 की तरह फिर नरमपंथी हिंदुत्व की नीति अपना रही है , जब उसने अयोध्या में शिलन्यास करवाया था और राजीव गांधी ने रामराज्य का वादा करते हे वहीं से चुनाव अभियान शुरू किया था ."
tides,The act of urination in the male camel takes considerable time .,ऊंट को पेशाब करने में काफी समय लगता है .
tides,Raipur : Ajit Jogi keeps himself up to date with all graft cases .,रायपुर घोटालं के विशेषज्ञ अजित जोगी को हमेशा भ्रष्टाचार के मामलं की ताजा जानकारी होती है .
tides,It is the dream of every Bengali living in the villages to visit Calcutta and one who can raise a good crop after harvesting would sell out the extra grain beyond his need in the market and with this money he would rush to Calcutta by the first available ship .,जब भी अच्छी पैदावार होगी उनका पहला काम यही होगा कि अपनी आवश्यकतानुसार अनाज अलग रखकर शेष अनाज बेचकर प्राप्त धनराशि से प्रथम सुलभ पानी के जहाज से कलकत्ता के लिए प्रस्थान करना .
ted,How would you bring that story to life?,आप उस कहानी में जीवन कैसे फ़ूँक सकेंगे?
tides,"Now , increasingly , it is beginning to seem as if nobody is serious about doing the things that would make a real difference .","अब , फिर यह एहसास गहराने लगा है कि वास्तविक बदलवों को लेकर कोई गंभीर नहीं है ."
tides,"The Third Plan continued the emphasis on rapid industrialisation , with accent on investments on capital goods and producer goods industries .","तीसरी योजना में , पूंजीगत माल तथा उत्पादक माल उद्योगों में निवेश पर जोर देते हुए , त्वरित औद्योगिकीकरण पर जोर दिया जाता रहा ."
indic2012,Comments,टीका-टिप्पणी
indic2012,Political analyst Hasan Askari Rizvi said Musharraf's prospects in Pakistani politics were weak - at least for now.,इसीलिए इसमें मर्यादा का चित्रण नहीं मिलता।
tides,"For , the communist contribution to “ the image of the country in the eyes of the international community ” is not something that 's been adequately noticed yet .",लेकिन ' विश्व समुदाय की नजर में देश की छवि ' बनाने में सायवादियों का योगदान कोई ऐसा नहीं रहा है जिसकी कोई पर्याप्त नोटिस अब तक ली गई हो .
ted,"five simple exercises, tools you can take away with you,","पांच साधारण प्रयोग, साधन जो आप अपने साथ ले जा सकते है,"
tides,The book was an elaboration with historical and statistical materials of the point of view that Roy had presented in his debate with Lenin at the second congress .,इस किताब में राय के उसी दृष्टिकोण के ऐतिहासिक व सांख़्यकीय प्रमाणो को विस्तारपूर्वक लिखा गया था जो उन्होनें दूसरी कांग्रेस में लेनिन के साथ हुई बहस में रखा था .
ted,can actually be measured now.,आज उनको नापा- तोला जा सकता है।
tides,It has a wide or narrow bridge and seven strings .,इसमें एक संकरा अथवा चौड़ा मेरु होता है तथा सात तार होते हैं .
tides,"Tozhuvur Velayuda Mudahar , in his statement to the Theosophical Society , described Ramalmga in English as follows :",तोझुवूर वेलायुद मुदलियार ने थियोसोफिकल सोसाइटी को दिये गये विवरण में रामलिंग का वर्णन ( अंग्रेजी में ) यूं किया :
ted,Residents were often given less than a month's notice before their buildings were razed.,कभी-कभी तो वहां के निवासियों की बिल्डिंगें तोड़ने के पहले उनको एक महीने से भी कम समय का नोटिस दिया जाता था।
indic2012,"UK Environment, Food and Rural Affairs (DEFRA) Department (UK's Department for Environment, Food and Rural Affairs (DEFRA)) the set air quality targets Most local government representatives is focused on the urban air quality management is responsible for where the air quality management is essential. Britain has an established network of air quality monitoring stations where the main pollutant levels are published. Oxford, Bath and London air quality is especially poor. Demonstrated by Calor Gas Company and The Guardian Newspaper published a controversial study in Oxford on an average 60-day burning cigarette is considered the equivalent of drinking.",ब्रिटेन के पर्यावरण खाद्य और ग्रामीण मामलों के (DEFRA) विभाग (UKs Department for Environment Food and Rural Affairs (DEFRA)) से तय वायु गुणवत्ता लक्ष्य ज्यादातर स्थानीय सरकार के प्रतिनिधियों पर केंद्रित है जो शहरों में वायु गुणवत्ता प्रबंधन के लिए जिम्मेदार है जहाँ वायु गुणवत्ता प्रबंधन सबसे आवश्यक हैब्रिटेन ने एक हवा की गुणवत्ता का नेटवर्क स्थापित किया है जहा मुख्य प्रदूषक के स्तर निगरानी केन्द्रों द्वारा प्रकाशित हैं ऑक्सफोर्ड (Oxford) बाथ (Bath) और लन्दन में वायु की गुणवत्ता खासकर खराब है. कैलर गैस कंपनी (Calor Gas company)द्वारा प्रर्दशित और गार्जियन समाचार पत्र (the Guardian newspaper)में प्रकाशित एक विवादास्पद अध्ययन ने ऑक्सफोर्ड (Oxford) में एक औसत दिन चलने को ६० जलती हुई सिगरेट पीने के बराबर माना है.
indic2012,One 1991 GSM mobile phone digital 2G cellular first “”modern“” network 1991 fine load radio it started who started with GSM,एक 1991 GSM मोबाइल फोनडिजिटल 2G (दूसरी पीढ़ी) सेलुलर प्रौद्योगिकी पर पहला आधुनिक नेटवर्क प्रौद्योगिकी 1991 में फिनलैंड में रेडियोलिंजा (अब एलिसा समूह का हिस्सा है) द्वारा शुरू की गई थी GSM मानक पर जिसने मोबाइल दूरसंचार में प्रतियोगिता की शुरूआत को चिह्नित किया जब रेडियोलिंजा ने अवलंबी दूरसंचार फिनलैंड (अब टेलियासोनेरा का हिस्सा है) को चुनौती दी जो एक 1G NMT नेटवर्क चला रहे थे.
ted,"as something that's working against us, this other thing,","उसे हमारे ही विरुद्ध कर देता है ,कि जैसे वो कुछ और ही है"
tides,It is a water container not only for storing potable water but it is a common sight to see labourers carrying water in it and sprinkling it on masonry .,"यह पानी के बर्तन की तरह इस्तेमाल होता है , केवल पानी को भरने के ही लिए नहीं बल्कि मजदूरों को इसमें पानी भर कर सड़क पर छिड़काव करते हुए देखना एक आम दृश्य है ."
indic2012,"he left all of his wealth, his wife,son and kingdom and led a life of a monk and discovered many answers on birth ,old age, pain,sickness and death",उन्होने अपना धनवान जीवन अपनी पत्नी अपना पुत्र एवं राजपाठ सब को छोड़कर एक साधु का जीवन अपना लिया ताकि वे जन्म बुढ़ापे दर्द बीमारी और मृतयु के बारे में कोई उत्तर खोज पाएं।
tides,"If there is no improvement in 24 hours , consult your doctor .","यदि आपके लक्षणों में 24 घंटों के बाद सुधार नहीं होता है , तो डॉक्टर को बुलायें ."
ted,"Before we used to just budget on whatever oil we bring in,","इससे पहले हम जो तेल लाते थे उस पर बजट का उपयोग करते थे,"
indic2012,here we find Marathi medium or English medium of education.,यहां मराठी या अंग्रेज़ी शिक्षा का माध्यम होता है।
ted,"He said, “Count it the greatest sin",उन्होंने कहा था “यह सबसे बड़ा पाप है
tides,"Their disappearance and absorption would , of course , be inevitable if Britain ever ceased to be the supreme power as regards India . ”","अगर हिंदुस्तान में ब्रिटेन की ताकत खत्म हो गयी और जो एक बड़ी ताकत है , तब यह अपने आप खत्म हो जायेंगी और हिंदुस्तान में मिल जायेंगी ."
